日期(年),單位,再生能源發電裝置_合計,再生能源發電裝置_慣常水力,再生能源發電裝置_地熱,再生能源發電裝置_太陽光電,再生能源發電裝置_風力_小計,再生能源發電裝置_生質能_小計,再生能源發電裝置_廢棄物
2002,千瓩,2550,1909,0,0,9,120,512
2003,千瓩,2529,1909,0,0,9,99,512
2004,千瓩,2558,1910,0,1,9,98,542
2005,千瓩,2608,1910,0,1,24,90,584
2006,千瓩,2711,1910,0,1,102,88,609
2007,千瓩,2819,1921,0,2,186,87,622
2008,千瓩,2903,1938,0,6,250,87,622
2009,千瓩,3030,1937,0,10,374,87,622
2010,千瓩,3197,1977,0,35,476,87,622
2011,千瓩,3399,2041,0,130,523,81,624
2012,千瓩,3594,2081,0,231,571,81,629
2013,千瓩,3816,2081,0,410,614,81,629
2014,千瓩,4065,2081,0,636,637,81,629
2015,千瓩,4329,2089,0,884,647,80,629
2016,千瓩,4726,2089,0,1245,682,80,629
2017,千瓩,5259,2089,0,1768,692,80,629
2018,千瓩,6255,2091,0,2738,713,81,632
2019,千瓩,7798,2092,0,4150,845,79,632
2020,千瓩,9566,2093,0,5817,937,86,632
2021,千瓩,11610,2094,5,7700,1094,85,632
2022,千瓩,14133,2098,5,9724,1581,92,632
