日期(年),單位,再生能源發電量合計,慣常水力,地熱,太陽光電,風力_小計,生質能_小計,廢棄物
2002,千度,5582829,2778901,0,348,15880,410970,2376730
2003,千度,6209739,3034516,0,461,23762,394254,2756746
2004,千度,6584988,3209869,0,584,25253,348524,3000758
2005,千度,7540945,4071374,0,960,91300,323478,3053833
2006,千度,7743848,4088351,0,1457,276075,321292,3056674
2007,千度,8324812,4417550,0,2180,439535,302267,3163280
2008,千度,8259060,4305105,0,4473,588265,272489,3088727
2009,千度,7809525,3748288,0,9113,786635,229350,3036139
2010,千度,8639758,4194101,0,21727,1026338,270038,3127554
2011,千度,8987061,3999726,0,61623,1492677,236091,3196944
2012,千度,10662097,5669558,0,159870,1413468,241460,3177741
2013,千度,10855227,5422890,0,321096,1640008,225561,3245672
2014,千度,9922382,4317862,0,528762,1500484,249783,3325490
2015,千度,10476045,4470146,0,850268,1525236,246203,3384192
2016,千度,12730120,6562041,0,1109005,1457102,205421,3396552
2017,千度,12365425,5446815,0,1667453,1722459,187698,3341001
2018,千度,12646608,4481584,1,2703658,1709487,185280,3566597
2019,千度,15258373,5544796,757,4015948,1892232,169780,3634861
2020,千度,15179072,3019152,1912,6074674,2308872,204718,3569744
2021,千度,17511713,3474663,9074,7970191,2257478,195794,3604514
2022,千度,23844899,5836503,25008,10676988,3543061,158212,3605128
